iter	Logloss
0	0.6475606283
1	0.6096378326
2	0.5733580271
3	0.5435092078
4	0.51671079
5	0.4893486447
6	0.4655620575
7	0.4485834757
8	0.4319957309
9	0.4115231832
10	0.395724784
11	0.3839123196
12	0.3718322754
13	0.3612297058
14	0.3529179891
15	0.3456366433
16	0.3377173954
17	0.3315056695
18	0.3247403887
19	0.319527181
20	0.3160544925
21	0.3119829814
22	0.3064462662
23	0.3026695675
24	0.2988577949
25	0.2942267524
26	0.2900151783
27	0.2871141434
28	0.282975324
29	0.2801178614
30	0.2774137497
31	0.2750077354
32	0.2719268799
33	0.2697221968
34	0.2673586528
35	0.2655792448
36	0.2629825592
37	0.260128869
38	0.2572490692
39	0.2562391069
40	0.2546355989
41	0.2532154719
42	0.2513732698
43	0.2495670319
44	0.2473446104
45	0.2461294598
46	0.2450445387
47	0.2440912459
48	0.2420920902
49	0.2405017005
50	0.2398837407
51	0.2388639026
52	0.2374333911
53	0.2351477729
54	0.2330361684
55	0.2313852098
56	0.2302042219
57	0.2284515805
58	0.2268701765
59	0.2260874006
60	0.2248495526
61	0.2236441506
62	0.2223421521
63	0.2215140873
64	0.2205837462
65	0.2189476225
66	0.2175204595
67	0.216546207
68	0.2155900743
69	0.2146055857
70	0.2136077457
71	0.2125590218
72	0.2113542557
73	0.2105179257
74	0.2099001778
75	0.2091254552
76	0.2079388513
77	0.2068950229
78	0.2058778975
79	0.2051646762
80	0.2041404724
81	0.2030592601
82	0.2021118164
83	0.2011294047
84	0.2005627526
85	0.1997194714
86	0.1990314484
87	0.1979404238
88	0.1970950445
89	0.1964360131
90	0.1954275555
91	0.1949946933
92	0.1939126121
93	0.1933334139
94	0.1926787482
95	0.1920747757
96	0.1915519079
97	0.1910083771
98	0.1899477217
99	0.1891077677
100	0.1881654951
101	0.1874417199
102	0.1864742703
103	0.1859675725
104	0.1843413035
105	0.1836963442
106	0.1830421448
107	0.1822561688
108	0.181628969
109	0.1812084622
110	0.180308236
111	0.1794847276
112	0.1789024353
113	0.1786051432
114	0.1780656391
115	0.1774621434
116	0.1769821591
117	0.1764966859
118	0.1759503047
119	0.1753930622
120	0.1744648616
121	0.1737125397
122	0.1729114109
123	0.1719293171
124	0.1709157202
125	0.1699083116
126	0.1695098771
127	0.168930361
128	0.1679960993
129	0.1670530743
130	0.1664051798
131	0.1657582919
132	0.1651100371
133	0.164744907
134	0.1641270955
135	0.1636468252
136	0.1625210656
