iter	Passed	Remaining
0	15	3041
1	29	2883
2	52	3419
3	67	3288
4	84	3307
5	96	3117
6	116	3200
77	170	40968	175	3725
99	240	4560110	294	5067
11	331	5193
12	348	5008
13	387	5148
14	421	5196115	448	5153116	485	523017	521	5272
18	555	5296
19	569	5126
20	589	5025
221	631	5109222	666	5132223	690	5065224	710	497225	725	4852
26	769	4930
27	782	4803
28	803	4735
29	832	4717
30	858	4682
31	885	4648
32	906	4587
33	921	4500
34	939	4430
335	979	4462336	994	438137	998	4255
38	1028	4247
39	1056	4227
40	1078	4181
41	1128	4246
42	1144	4179
43	1164	4130
44	1181	4069
45	1197	4010
4646	1257	4094747	1357	4294848	1420	4374949	1450	4355050	1462	42751	1446	4116
52	1476	4094
53	1505	4071
54	1526	4023
5555	1613	4145656	1629	4085757	1642	4025858	1656	3955959	1664	3886060	1680	3826161	1693	3766262	1703	3706363	1714	3646464	1727	3586565	1737	3526666	1746	3466767	1759	3416868	1773	3366969	1797	3337
70	1813	3295
71	1839	3269
72	1853	3223
73	1866	3177
74	1879	3133
75	1906	3110
76	1920	3067777	1935	3027878	1950	2987979	1977	2968080	1994	29381	1983	2854
8282	2045	28883	2019	2789
84	2031	2749
85	2050	2717
86	2079	2701
87	2100	2672
88	2123	2648
89	2154	2633
90	2174	2604
91	2189	2569
92	2202	2533
93	2214	2496
94	2228	2462
95	2247	2434
96	2262	2402
97	2275	2368
98	2293	2339
99	2315	2315
100	2326	2280
101	2347	2255
102	2374	2236
103	2437	2249
104	2466	2231
10105	2562	22710106	2589	2250
107	2618	22310108	2642	220109	2638	2158
110	2648	2123
11111	2714	21311112	2746	2114
113	2768	2088
114	2791	2063
115	2810	2035
116	2829	2007
117	2844	1976
118	2853	1942
119	2878	1919
120	2892	1888
121	2905	1857
122	2925	1831
123	2936	1799
124	2946	1768
125	2959	1737
126	2984	1715
127	3001	1688
128	3022	1663
129	3032	1633
130	3051	1607
131	3067	1580
132	3078	1550
133	3090	1522
134	3102	1493
135	3113	1464
136	3121	1435
137	3129	1406
138	3139	1377
139	3150	1350
140	3172	1327
141	3187	1301
142	3201	1276
143	3213	1249
144	3223	1222
145	3236	1197
146	3247	1170
147	3260	1145
148	3279	1122
149	3292	1097
150	3313	1075
151	3324	1049
152	3336	1024
153	3344	998
154	3357	974
155	3368	950
156	3380	925
157	3388	900
158	3398	876
159	3410	852
160	3418	828
161	3427	803
162	3435	779
163	3443	755
164	3456	733
165	3465	709
166	3473	686
167	3481	663
168	3490	640
169	3501	617
170	3508	595
171	3518	572
172	3525	550
173	3533	527
174	3543	506
175	3550	484
176	3559	462
177	3567	440
178	3576	419
179	3587	398
180	3595	377
181	3602	356
182	3612	335
183	3624	315
184	3636	294
185	3647	274
186	3656	254
187	3665	233
188	3671	213
189	3678	193
190	3689	173
191	3697	154
192	3703	134
193	3711	114
194	3717	95
195	3736	76
196	3745	57
197	3756	37
198	3772	18
199	3780	0
