ID,GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research,Admitted,Age,Location,First_Generation
ID_000001,319.0,111.0,4,4.78,4.89,9.51,1,1,26,South America,1
ID_000002,327.0,113.0,5,4.24,4.74,10.19,1,1,23,Africa,1
ID_000003,323.0,110.0,4,3.43,2.99,8.81,1,1,32,South America,0
ID_000004,321.0,105.0,3,3.41,3.38,,0,0,34,Africa,1
ID_000005,316.0,108.0,3,,4.8,,1,1,30,North America,1
ID_000006,302.0,100.0,2,0.2,3.08,6.88,0,0,27,Europe,1
ID_000007,306.0,101.0,2,3.79,2.44,8.32,0,0,32,Africa,1
ID_000008,311.0,108.0,2,3.1,3.67,,0,1,24,Asia,1
ID_000009,322.0,106.0,3,2.88,2.4,8.89,1,1,26,Africa,1
ID_000010,302.0,99.0,1,3.62,2.74,8.3,0,0,29,South America,0
ID_000011,329.0,112.0,5,4.56,4.4,8.85,1,1,22,North America,0
ID_000012,321.0,106.0,3,2.65,3.67,8.21,1,1,26,North America,1
ID_000013,328.0,111.0,4,4.64,3.56,9.96,1,1,30,Africa,1
ID_000014,316.0,99.0,1,2.58,2.61,8.87,0,0,30,Europe,0
ID_000015,300.0,101.0,3,2.72,3.01,8.27,0,1,27,Asia,0
ID_000016,305.0,107.0,3,3.31,3.37,11.02,0,0,24,North America,0
ID_000017,319.0,112.0,4,,4.6,9.24,1,1,23,South America,1
ID_000018,,102.0,3,2.78,0.31,7.27,0,0,27,South America,1
ID_000019,313.0,102.0,2,2.01,2.88,8.01,0,0,27,Europe,1
ID_000020,311.0,,2,2.66,3.42,7.67,0,1,22,North America,1
ID_000021,319.0,102.0,3,2.04,3.39,8.64,1,1,25,Africa,0
ID_000022,321.0,108.0,4,3.44,4.78,9.36,1,1,24,South America,0
ID_000023,310.0,105.0,2,,3.44,8.93,0,0,21,Europe,0
ID_000024,322.0,104.0,3,4.47,3.29,7.84,1,1,27,North America,0
ID_000025,294.0,92.0,1,2.45,2.2,6.84,0,0,31,North America,1
ID_000026,320.0,101.0,3,2.56,2.46,7.89,1,1,33,North America,1
ID_000027,,94.0,2,0.79,2.83,,1,0,25,North America,0
ID_000028,296.0,98.0,3,,4.89,7.68,0,0,21,North America,0
ID_000029,340.0,112.0,4,5.46,5.32,8.4,1,1,35,South America,0
ID_000030,311.0,98.0,1,3.15,1.47,8.73,1,0,31,Europe,0
ID_000031,,94.0,1,2.81,2.23,7.31,0,0,24,North America,0
ID_000032,321.0,108.0,4,4.45,3.33,9.6,1,1,20,Asia,1
ID_000033,,105.0,2,,2.83,7.98,0,0,31,Asia,1
ID_000034,,109.0,3,3.43,3.74,,1,1,29,Europe,0
ID_000035,314.0,102.0,2,1.9,1.54,6.61,0,0,25,Africa,0
ID_000036,300.0,106.0,2,4.79,2.78,,0,0,32,Africa,0
ID_000037,296.0,,2,3.03,2.59,7.86,0,0,31,Africa,1
ID_000038,315.0,,3,2.21,1.53,10.05,0,1,28,Asia,1
ID_000039,316.0,105.0,3,4.24,3.42,8.39,0,1,20,Africa,1
ID_000040,325.0,110.0,3,1.44,4.67,,0,0,30,South America,0
